Model,Train R2,Test R2,Train RMSE,Test RMSE,Train MAE,Test MAE,R2 Improvement (%)
Benchmark (Volatility),0.1661,0.1666,0.1234,0.1235,0.0987,0.0988,0.0
FinBERT + Ridge,0.18743141765862847,0.18044147598757987,0.1953568370445446,0.1969546345106706,0.15451428510676352,0.15580690536644234,8.308208876098362
FinBERT + LightGBM,0.30138857204461234,0.22234724017617447,0.18114086808919558,0.1918532133412547,0.14340419017818595,0.15169910637914336,33.46172879722357
